scenario,step,node_count,link_probability,edge_count,average_degree,component_count,largest_component_size,largest_component_fraction,giant_component_threshold,giant_component_flag
threshold_sensitive,10,100,0.00913,52,1.04,48,18,0.18,0.4,0
threshold_sensitive,11,100,0.010145,43,0.86,57,12,0.12,0.4,0
threshold_sensitive,12,100,0.011159,68,1.36,32,33,0.33,0.4,0
threshold_sensitive,13,100,0.012174,64,1.28,37,25,0.25,0.4,0
threshold_sensitive,14,100,0.013188,71,1.42,31,46,0.46,0.4,1
threshold_sensitive,15,100,0.014203,72,1.44,33,58,0.58,0.4,1
threshold_sensitive,16,100,0.015217,84,1.68,21,74,0.74,0.4,1
threshold_sensitive,17,100,0.016232,100,2.0,16,81,0.81,0.4,1
threshold_sensitive,18,100,0.017246,97,1.94,20,75,0.75,0.4,1
threshold_sensitive,19,100,0.018261,89,1.78,27,61,0.61,0.4,1
threshold_sensitive,20,100,0.019275,91,1.82,16,73,0.73,0.4,1
threshold_sensitive,21,100,0.02029,99,1.98,15,82,0.82,0.4,1
threshold_sensitive,22,100,0.021304,84,1.68,22,74,0.74,0.4,1
threshold_sensitive,23,100,0.022319,101,2.02,18,72,0.72,0.4,1
threshold_sensitive,24,100,0.023333,121,2.42,9,92,0.92,0.4,1
threshold_sensitive,25,100,0.024348,100,2.0,13,88,0.88,0.4,1
threshold_sensitive,26,100,0.025362,107,2.14,11,90,0.9,0.4,1
threshold_sensitive,27,100,0.026377,147,2.94,4,97,0.97,0.4,1
threshold_sensitive,28,100,0.027391,121,2.42,10,89,0.89,0.4,1
threshold_sensitive,29,100,0.028406,152,3.04,6,95,0.95,0.4,1
threshold_sensitive,30,100,0.02942,159,3.18,4,97,0.97,0.4,1
threshold_sensitive,31,100,0.030435,156,3.12,8,93,0.93,0.4,1
threshold_sensitive,32,100,0.031449,146,2.92,8,91,0.91,0.4,1
threshold_sensitive,33,100,0.032464,175,3.5,5,96,0.96,0.4,1
threshold_sensitive,34,100,0.033478,172,3.44,3,98,0.98,0.4,1
threshold_sensitive,35,100,0.034493,141,2.82,5,96,0.96,0.4,1
threshold_sensitive,36,100,0.035507,168,3.36,5,96,0.96,0.4,1
threshold_sensitive,37,100,0.036522,160,3.2,6,95,0.95,0.4,1
threshold_sensitive,38,100,0.037536,200,4.0,4,96,0.96,0.4,1
threshold_sensitive,39,100,0.038551,206,4.12,4,97,0.97,0.4,1
threshold_sensitive,40,100,0.039565,195,3.9,3,98,0.98,0.4,1
threshold_sensitive,41,100,0.04058,200,4.0,4,97,0.97,0.4,1
threshold_sensitive,42,100,0.041594,205,4.1,1,100,1.0,0.4,1
threshold_sensitive,43,100,0.042609,196,3.92,1,100,1.0,0.4,1
threshold_sensitive,44,100,0.043623,230,4.6,1,100,1.0,0.4,1
threshold_sensitive,45,100,0.044638,224,4.48,1,100,1.0,0.4,1
threshold_sensitive,46,100,0.045652,205,4.1,2,99,0.99,0.4,1
threshold_sensitive,47,100,0.046667,228,4.56,3,98,0.98,0.4,1
threshold_sensitive,48,100,0.047681,250,5.0,2,99,0.99,0.4,1
threshold_sensitive,49,100,0.048696,254,5.08,2,99,0.99,0.4,1
threshold_sensitive,50,100,0.04971,225,4.5,1,100,1.0,0.4,1
threshold_sensitive,51,100,0.050725,240,4.8,2,99,0.99,0.4,1
threshold_sensitive,52,100,0.051739,233,4.66,1,100,1.0,0.4,1
threshold_sensitive,53,100,0.052754,268,5.36,1,100,1.0,0.4,1
threshold_sensitive,54,100,0.053768,259,5.18,1,100,1.0,0.4,1
threshold_sensitive,55,100,0.054783,288,5.76,1,100,1.0,0.4,1
threshold_sensitive,56,100,0.055797,275,5.5,1,100,1.0,0.4,1
threshold_sensitive,57,100,0.056812,270,5.4,1,100,1.0,0.4,1
threshold_sensitive,58,100,0.057826,279,5.58,1,100,1.0,0.4,1
threshold_sensitive,59,100,0.058841,284,5.68,1,100,1.0,0.4,1
threshold_sensitive,60,100,0.059855,296,5.92,1,100,1.0,0.4,1
threshold_sensitive,61,100,0.06087,297,5.94,1,100,1.0,0.4,1
threshold_sensitive,62,100,0.061884,263,5.26,1,100,1.0,0.4,1
threshold_sensitive,63,100,0.062899,333,6.66,1,100,1.0,0.4,1
threshold_sensitive,64,100,0.063913,319,6.38,1,100,1.0,0.4,1
threshold_sensitive,65,100,0.064928,321,6.42,1,100,1.0,0.4,1
threshold_sensitive,66,100,0.065942,310,6.2,1,100,1.0,0.4,1
threshold_sensitive,67,100,0.066957,323,6.46,1,100,1.0,0.4,1
threshold_sensitive,68,100,0.067971,304,6.08,1,100,1.0,0.4,1
threshold_sensitive,69,100,0.068986,330,6.6,1,100,1.0,0.4,1
threshold_sensitive,70,100,0.07,332,6.64,1,100,1.0,0.4,1
